Timestamp,Student ID,Do you understand that this is a paid course ?,Course Fee Email,Date sent,Payment,Payment Receipt Sent,How and where did you hear about this course?,Which Country are you currently residing in?,Which City are you currently residing in?,Gender,Age,Are you currently attending University / College?,Latest Degree Completed or in Progress?,Name of University or College currently or previously attended?,Discipline of Degree?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"". ",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?","Personal Education or Knowledge (learning Python on your own and/or doing personal projects, etc.) in Python?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?"
8/22/2022 6:41:46,19,No,Sent,2022-08-24,Pending,,On Facebook group,Pakistan,Karachi,Male,21,Yes,Bachelors,Institute of Business Administration,Computer Science,Statisitics,Java,Beginner (0 Years),To make a career in the field of Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 6:44:09,20,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,Karachi,Male,22,Yes,Bachelors,"IBA, Karachi",Economics and mathematics,Data Science,R and SQL,Beginner (0 Years),To involve in data science role,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,
8/22/2022 6:53:25,21,No,Sent,2022-08-24,Pending,,Facebook,Pakistan,Karachi,Male,27,No,Bachelors,Bachelors in Engineering,Software,Computer Science,JS,Beginner (0 Years),Pursue career in data science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 6:54:14,22,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,Karachi,Female,23,No,Bachelors,Institute of Business Administration (IBA),Accounting and Finance,Econometrics,None,Beginner (0 Years),Career Growth and opportunities,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 6:54:33,23,Yes,Sent,2022-08-25,Pending,,I heard it on the group of IBA and LUMS,Pakistan,Karachi,Male,19,Yes,Bachelors,IBA,BBA,Data Science,None,Beginner (0 Years),"I have learnt about Data Analytics, but not Data Science. Hence, I want to improve this field to explore more about data. ",Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 6:55:22,24,Yes,Sent,2022-08-25,Pending,,The group of iba and lums,Pakistan,Karachi,Male,20,Yes,Bachelors,IBA,BSCS,None of them,None,Beginner (0 Years),To learn more about data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,
8/22/2022 6:56:13,25,Yes,Sent,2022-08-25,Pending,,Facebook page,Pakistan,Karachi,Female,22,No,H.S.C,Foundation public school - bahria university for short course after,Process,None of them,I haven’t done this before but I want to learn this skill.,Beginner (0 Years),To learn new skill and improvise,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,I just hope to learn this in the best ways possible and grow further in this respective field.
8/22/2022 7:07:50,26,No,Sent,2022-08-24,Pending,,Whatsapp group,Pakistan,Karachi,Male,25,Yes,Bachelors,NED University of Engineering and Technology Karachi,Bachelor in Software Engineering,Data Science,Pyhton,Beginner (0 Years),Promoting our future goal in data science field,No,Beginner (0 Years),Advanced (4+),None (0 Years),Advanced (4+),Beginner (0 Years),Advanced (4+),True,This is a great opportunity to polish skills in data science field
8/22/2022 7:15:08,27,No,Sent,2022-08-24,Pending,,Friends,Pakistan,Karachi,Male,23,Yes,H.S.C,Sindh madressatul Islam university,Bachelor's in computer science,None of them,Python,Beginner (0 Years),I am passionate about data and data science thats why i want to take a part in this program,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),True,A good initiative
8/22/2022 7:15:45,28,No,Sent,2022-08-24,Pending,,Facebook,Pakistan,Lahore,Male,20,Yes,Bachelors,Lums,Electrical engineering,Computer Science,"Python, C++,  MATLAB,  JS,  ",Beginner (0 Years),Improve skillset,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 7:18:49,29,Yes,Sent,2022-08-25,Maybe,,FB,Pakistan,Karachi,Male,25,No,Bachelors,LGU,Economics,None of them,SQL,Beginner (0 Years),Learning,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,Please let me know if there are any discounts available; course seems value-packed but a bit over my budget at this point in time. Great initiative though! :)
8/22/2022 7:19:55,30,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,KARACHI,Female,27,No,Bachelors,INSTITUTE OF BUSINESS ADMINISTRATION KARACHI,BS SOCIAL SCIENCES & LIBERAL ARTS,Statisitics,NONE,Beginner (0 Years),Switching my career to data analytics,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 7:26:08,31,No,Sent,2022-08-24,Pending,,Peopel of LUMS and IBA group,Pakistan,Karachi,Male,24,No,Bachelors,IBA Karachi,BS Economics,Statisitics,None,Beginner (0 Years),Learning and getting skill,No,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 7:34:45,32,Yes,Sent,2022-08-25,Pending,,Social media,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Bs Economics,Econometrics,Python,Beginner (0 Years),Learn Data Science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 7:38:43,33,Yes,Sent,2022-08-25,Pending,,"A group called ""People of IBA and LUMS""",Pakistan,Lahore,Male,22,Yes,Bachelors,Lahore University of Management Sciences,Accounting and Finance (BSc. Honours),Computer Science,"Python, C++, VB",Beginner (0 Years),"I want to expand my skill base, branch out from the usual Accounting and Finance stuff",Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,"Not really, but would appreciate if the course fee could be lowered as coupled with the university expenses, students who are paying for this out of their own pocket might be discouraged to take up this course. "
8/22/2022 7:48:58,34,Yes,Sent,2022-08-25,Paid,Yes,Whatsapp link,Pakistan,Karachi,Male,19,Yes,Bachelors,Institute of Business Administration (IBA),Accounting and FInance,All of them,Python,Beginner (0 Years),"need to blend my finance knowledge with data science, trying to become a financial data scientist ",Yes,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Advanced (4+),True,
8/22/2022 7:54:41,35,Yes,Sent,2022-08-25,Pending,,Face Book,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Accounting amd Finance,Statisitics,None,Beginner (0 Years),Want to pursue furthur education in Data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,I hope that this course entails to beginners as well as I am from a different discipline
8/24/2022 19:04:28,36,Yes,Sent,2022-08-26,Paid,Yes,From LinkedIn and also from my friend,Pakistan,Islamabad,Female,23,Yes,Bachelors,Quaid I azam university,Statistics,None of them,Only in R,Beginner (0 Years),To enhance my skills or to learn,Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),True,I want to do this course and it's content is awesome
8/22/2022 8:01:49,37,No,Sent,2022-08-24,Pending,,From social media,Pakistan,Karachi,Male,22,Yes,Bachelors,Sindh Madressatul Islam University,Computer Science,All of them,Python,Learner (1 Year or Less),The primary motive for taking this course is to learn with friendly environment and work on open source project to gain experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),True,It's a request that please charge fees of course which is affordable for everyone because in this situation we are not having any job so please address this issue also
8/22/2022 8:04:58,38,No,Sent,2022-08-24,Pending,,Friend,Pakistan,Lahore,Male,25,No,Bachelors,PUCIT,Computer Science,Computer Science,Python,Intermediate (2-3 Years),Increase my skill level,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),True,None
8/22/2022 8:33:09,39,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,Lahore,Male,21,Yes,Bachelors,Lahore University of Management Sciences,Economics and Mathematics,All of them,Python and R,Beginner (0 Years),Industrial Exposure,Yes,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,
8/22/2022 8:40:24,40,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,Karachi,Female,21,Yes,Bachelors,Institute of business administration,Economics,Statisitics,Python,Beginner (0 Years),Polishing my skills,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,None
8/22/2022 8:40:57,41,Yes,Sent,2022-08-25,Pending,,Facebook,Pakistan,karachi,Male,26,No,Bachelors,Bahria University Karachi campus,Electronics Engineering,Data Science,"R,Python",Learner (1 Year or Less),Opportunity to start career in Data science,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),True,none
8/22/2022 8:41:00,42,No,Sent,2022-08-24,Pending,,Job group on What's app,Karachi,Karachi,Male,24,No,Bachelors,Iqra University,BS in Software Engineering,Computer Science,Python,Beginner (0 Years),Want to change my field,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),True,No
8/22/2022 8:41:37,43,No,Sent,2022-08-24,Pending,,Through a Whatsapp group,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Bachelor in Computer Science,Computer Science,Java,Beginner (0 Years),I'm a Project Head at Tech Hunt. And in future we have so many projects related to Data Science and Data Analytics in that case I have to know about these.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,Not now
8/22/2022 8:42:52,44,No,Sent,2022-08-24,Pending,,Referral,Pakistan,Karachi,Female,21,Yes,H.S.C,Aga Khan Higher Secondary,BS(Computer Science),Data Science,"Python,JS",Learner (1 Year or Less),To seek understanding of industry practices,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 8:46:48,45,No,Sent,2022-08-24,Pending,,On Facebook,Pakistan,Karachi,Male,21,Yes,Bachelors,Iqra university,Bs,Computer Science,Java,Intermediate (2-3 Years),For increase my skills,No,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,No
8/22/2022 8:47:13,46,No,Sent,2022-08-24,Pending,,From a friend,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Bachelor's in Computer Science,All of them,"Python, Java.",Learner (1 Year or Less),To have a career in machine learing field.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),True,
8/22/2022 8:47:44,47,No,Sent,2022-08-24,Pending,,From WhatsApp group,Pakistan,Karachi,Male,28,No,Bachelors,University Of Karachi,Software Engineering,Computer Science,None,Beginner (0 Years),Personal Interest toward Data Engineering,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,None
8/22/2022 8:47:52,48,Yes,Sent,2022-08-25,Pending,,Teacher/instructor,Pakistan,karachi,Male,24,No,Bachelors,Iqra university,BS-CS,Computer Science,None,Beginner (0 Years),"I want to know about data science, and want to start my career in data science, data analytics ",Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 8:48:02,49,Yes,Sent,2022-08-25,Pending,,I heard about this course through a whatsapp group,Pakistan,Karachi,Female,23,Yes,Bachelors,Szabist karachi,BsCs,Computer Science,Java and javascript,Beginner (0 Years),I want to learn new innovative things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 8:51:47,50,No,Sent,2022-08-24,Pending,,Through a friend,Pakistan,Karachi,Male,23,No,Bachelors,Iqra university,BSSE,Data Science,"Python, java",Beginner (0 Years),To enhance my career in the domain of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 8:53:12,51,Yes,Sent,2022-08-25,Pending,,My friend tell me about this course,Pakistan,Karachi,Male,18,Yes,H.S.C,Goverment degree science college malir,Yes,Computer Science,"Java , JS , python ",Beginner (0 Years),To increase my skills,Yes,Beginner (0 Years),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),None,
8/22/2022 8:55:39,52,No,Sent,2022-08-24,Pending,,From friend,Pakistan,Karachi,Male,29,Yes,Masters,Institute of Business Management,MS Statistics and Scientific Computing,All of them,"R, Python",Learner (1 Year or Less),Want to Excel in the field of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),None,No
8/22/2022 9:00:35,53,No,Sent,2022-08-27,Pending,,facebook,Pakistan,KARACHI,Male,24,Yes,Masters,institute of business administration,Masers Data Science,None of them,None,Beginner (0 Years),Learning about Data Science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),none,none
8/22/2022 9:03:12,54,No,Sent,2022-08-27,Pending,,Whatsapp group,Pakistan,Karachi,Male,23,No,Bachelors,Iqra University,Computer science,Computer Science,Python,Beginner (0 Years),I am planning to do masters in data science so before I enrolled in Masters this course would be beneficial for me to enhance my skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,
8/22/2022 9:04:58,55,No,Sent,2022-08-27,Pending,,WhatsApp group,Pakistan,Karachi,Male,23,Yes,Bachelors,Iqra University,Computer Science,Computer Science,"Js, Java",Beginner (0 Years),I want constantly learn new technologies,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,Na
8/22/2022 9:10:43,56,No,Sent,2022-08-27,Pending,,Facebook,Pakistan,Karachi,Female,22,Yes,H.S.C,IBA,Accounting and finance,Statisitics,Python,Beginner (0 Years),Would love to learn and diverse my knowledge,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None
8/22/2022 9:14:07,57,No,Sent,2022-08-27,Pending,,From a friend,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Computer Science,Computer Science,None,Beginner (0 Years),Learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 9:17:38,58,No,Sent,2022-08-27,Pending,,People of IBA and Lums,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Accounting and Finance,Statisitics,None,Beginner (0 Years),To get more skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 9:33:33,59,No,Sent,2022-08-27,Pending,,Students whatsapp group,Pakistan,Karachi,Male,24,No,Bachelors,Iqra Unversity,BSCS,Computer Science,Python,Beginner (0 Years),I wanna learn python,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),True,No
8/22/2022 9:44:41,60,No,Sent,2022-08-27,Pending,,Social Media(Facebook),Pakistan,Karachi,Male,24,Yes,Bachelors,IBA,Economics,Econometrics,Python,Beginner (0 Years),Enhance my coding skills for programming and gain experience to get a decent job in  IT sector.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,
8/22/2022 9:55:36,61,Yes,Sent,2022-08-26,Pending,,Linkedin,Pakistan,Karachi,Male,20,Yes,Bachelors,IBA,Bs EM,All of them,"Python, java ",Intermediate (2-3 Years),To gain real skill and market exposure,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),None,
8/22/2022 10:00:22,62,No,Sent,2022-08-27,Pending,,From a Friend,Pakistan,Karachi,Male,25,No,Bachelors,Iqra University,Bachelors in Software Engineering (BSSE),None of them,java,Beginner (0 Years),Want to learn,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,No
8/22/2022 10:02:05,63,No,Sent,2022-08-27,Pending,,Facebook,Pakistan,Gilgit,Female,21,No,Masters,"IBA, Karachi",Mathematics,All of them,R and python,Learner (1 Year or Less),Enhace my knowledge about data science and improving myjob prospects,No,Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),True,What is the criteria for getting a financial aid to complete the course?
8/25/2022 3:09:44,64,No,Sent,2022-08-26,Paid,Yes,Through a WhatsApp group,Pakistan,Karachi,Female,31,No,Bachelors,Institute of Business Administration Karachi,Computer Science,Computer Science,Python,Learner (1 Year or Less),Hands-on practical learning,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),True,
8/22/2022 10:17:17,65,Yes,Sent,2022-08-26,Pending,,WhatsApp,Karachi,Karachi,Male,23,Yes,Bachelors,University of Karachi,Software Engineering,All of them,Python,Learner (1 Year or Less),For career development,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),True,
8/22/2022 10:23:07,66,No,Sent,2022-08-27,Pending,,I am already software engineering,Pakistan,Karachi,Male,25,Yes,Bachelors,Baqai medical University,Software engineering,Data Science,C sharp,Beginner (0 Years),field already software side,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),True,Yes
8/22/2022 10:50:23,67,No,Sent,2022-08-27,Pending,,Through a friend,Pakistan,karachi,Male,21,Yes,Bachelors,Institute of business administration Karachi,accounting and Finance,Statisitics,Python,Beginner (0 Years),Wanna Perue a career in somewhat intersection of data science and finance,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),True,No
